policy,accuracy_p,good_halt_rate,good_escalate_rate,good_total_refusal,good_false_block,bad_halt_rate,bad_escalate_rate,bad_total_refusal,bad_proceed_rate,bad_false_pass
quorum,0.8500000000000001,0.17076,0.22108,0.39183999999999997,0.39183999999999997,0.99648,0.00308,0.99956,0.00044,0.00044
quorum,0.875,0.1388,0.19088,0.32968,0.32968,0.99804,0.00184,0.99988,0.00012,0.00012
quorum,0.9,0.11552,0.1544,0.26992,0.26992,0.99908,0.00084,0.9999199999999999,8e-05,8e-05
quorum,0.925,0.08788,0.11708,0.20496,0.20496,0.99952,0.0004,0.9999199999999999,8e-05,8e-05
quorum,0.95,0.06036,0.0858,0.14616,0.14616,0.99992,8e-05,1.0,0.0,0.0
quorum,0.9750000000000001,0.0286,0.04556,0.07416,0.07416,1.0,0.0,1.0,0.0,0.0
quorum,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
any,0.5,0.49728,0.02752,0.5248,0.5248,0.88108,0.01408,0.89516,0.10484,0.10484
any,0.525,0.46692,0.0216,0.48852,0.48852,0.89004,0.01396,0.904,0.096,0.096
any,0.55,0.45424,0.02068,0.47491999999999995,0.47491999999999995,0.90824,0.01128,0.91952,0.08048,0.08048
any,0.575,0.4296,0.01592,0.44551999999999997,0.44551999999999997,0.92156,0.00948,0.9310400000000001,0.06896,0.06896
any,0.6,0.40504,0.01428,0.41932,0.41932,0.93772,0.00768,0.9454,0.0546,0.0546
any,0.625,0.38744,0.01184,0.39928,0.39928,0.94584,0.00672,0.95256,0.04744,0.04744
any,0.65,0.36548,0.01016,0.37564000000000003,0.37564000000000003,0.95888,0.0052,0.9640799999999999,0.03592,0.03592
any,0.675,0.34356,0.0072,0.35075999999999996,0.35075999999999996,0.96632,0.0046,0.97092,0.02908,0.02908
any,0.7,0.3144,0.00576,0.32016,0.32016,0.9714,0.00428,0.97568,0.02432,0.02432
any,0.725,0.29628,0.00408,0.30035999999999996,0.30035999999999996,0.97944,0.00216,0.9816,0.0184,0.0184
any,0.75,0.27568,0.00364,0.27931999999999996,0.27931999999999996,0.98372,0.0018,0.9855200000000001,0.01448,0.01448
any,0.775,0.24384,0.00244,0.24628,0.24628,0.98884,0.0012,0.99004,0.00996,0.00996
any,0.8,0.22192,0.0016,0.22352,0.22352,0.99168,0.00084,0.99252,0.00748,0.00748
any,0.825,0.19756,0.00116,0.19872,0.19872,0.99456,0.00052,0.99508,0.00492,0.00492
any,0.8500000000000001,0.17028,0.00092,0.1712,0.1712,0.99704,0.00044,0.99748,0.00252,0.00252
any,0.875,0.14252,0.00036,0.14288,0.14288,0.99776,0.00028,0.9980399999999999,0.00196,0.00196
any,0.9,0.11064,0.00028,0.11092,0.11092,0.99892,0.00016,0.9990800000000001,0.00092,0.00092
any,0.925,0.08828,0.00016,0.08843999999999999,0.08843999999999999,0.99972,4e-05,0.9997600000000001,0.00024,0.00024
any,0.95,0.06096,4e-05,0.061,0.061,0.99984,0.0,0.99984,0.00016,0.00016
any,0.9750000000000001,0.03032,0.0,0.03032,0.03032,1.0,0.0,1.0,0.0,0.0
any,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
