import time: self [us] | cumulative | imported package
import time:       112 |        235 |             shellingham
import time:       208 |        443 |           typer._completion_shared
import time:       146 |        588 |         typer._completion_classes
import time:       469 |        469 |         typer.models
import time:       445 |        445 |         typer.params
import time:       140 |        140 |           copy
import time:       133 |        273 |         typer.utils
import time:       139 |       1912 |       typer.completion
import time:        25 |         25 |             _heapq
import time:       130 |        154 |           heapq
import time:       336 |        489 |         difflib
import time:       518 |        518 |         gettext
import time:       404 |       1410 |       typer.core
import time:       518 |       7419 |     typer.main
import time:       165 |      10078 |   typer
import time:       309 |        309 |           click._compat
import time:        78 |         78 |             click.globals
import time:       150 |        150 |             click.utils
import time:       218 |        445 |           click.exceptions
import time:       957 |       1710 |         click.types
import time:       192 |        192 |         click._utils
import time:       166 |        166 |           click.parser
import time:       153 |        319 |         click.formatting
import time:       157 |        157 |         click.termui
import time:       687 |       3063 |       click.core
import time:       164 |        164 |       click.decorators
import time:       273 |       3499 |     click
import time:        18 |       3516 |   click.exceptions
import time:       172 |        172 |         yaml.error
import time:       314 |        314 |         yaml.tokens
import time:       164 |        164 |         yaml.events
import time:        97 |         97 |         yaml.nodes
import time:      2925 |       2925 |           yaml.reader
import time:       280 |        280 |           yaml.scanner
import time:       165 |        165 |           yaml.parser
import time:       107 |        107 |           yaml.composer
import time:       455 |        455 |           yaml.constructor
import time:       719 |        719 |           yaml.resolver
import time:       197 |       4846 |         yaml.loader
import time:       221 |        221 |           yaml.emitter
import time:       103 |        103 |           yaml.serializer
import time:       160 |        160 |           yaml.representer
import time:       150 |        632 |         yaml.dumper
import time:       526 |        526 |           yaml._yaml
import time:       182 |        708 |         yaml.cyaml
import time:       227 |       7158 |       yaml
import time:        82 |         82 |         snodo.compiler
import time:       100 |        100 |                     _socket
import time:       858 |        958 |                   typing_extensions
import time:       867 |        867 |                   pydantic_core._pydantic_core
import time:       410 |        410 |                         numbers
import time:       271 |        680 |                       _decimal
import time:       145 |        825 |                     decimal
import time:      5402 |       6227 |                   pydantic_core.core_schema
import time:       326 |       8377 |                 pydantic_core
import time:        88 |       8464 |               pydantic.version
import time:       188 |       8652 |             pydantic.warnings
import time:       199 |       8850 |           pydantic._migration
import time:       119 |        119 |               typing_inspection
import time:       387 |        387 |               dataclasses
import time:       729 |        729 |               typing_inspection.typing_objects
import time:       564 |       1797 |             typing_inspection.introspection
import time:        97 |         97 |             pydantic._internal
import time:       378 |        378 |                 pydantic._internal._namespace_utils
import time:       231 |        608 |               pydantic._internal._typing_extra
import time:       206 |        814 |             pydantic._internal._repr
import time:       253 |       2960 |           pydantic.errors
import time:       203 |      12012 |         pydantic
import time:        73 |         73 |             pydantic._internal._internal_dataclass
import time:       632 |        705 |           pydantic.aliases
import time:       553 |        553 |           pydantic.config
import time:       172 |       1429 |         pydantic._internal._config
import time:       160 |        160 |           pydantic._internal._core_utils
import time:        86 |         86 |             pydantic._internal._import_utils
import time:       472 |        558 |           pydantic._internal._utils
import time:      1793 |       2510 |         pydantic._internal._decorators
import time:        23 |         23 |               _contextvars
import time:       109 |        132 |             contextvars
import time:       260 |        260 |             pydantic._internal._forward_ref
import time:       408 |        799 |           pydantic._internal._generics
import time:       111 |        111 |           pydantic._internal._docs_extraction
import time:       391 |       1300 |         pydantic._internal._fields
import time:       276 |        276 |             pydantic.plugin
import time:       186 |        461 |           pydantic.plugin._schema_validator
import time:       173 |        633 |         pydantic._internal._mock_val_ser
import time:       814 |        814 |             fractions
import time:       275 |        275 |                 sysconfig
import time:       357 |        357 |                 _sysconfigdata__darwin_darwin
import time:       159 |        159 |                 _osx_support
import time:      2422 |       3211 |               zoneinfo._tzpath
import time:       135 |        135 |               zoneinfo._common
import time:        40 |         40 |               _zoneinfo
import time:       165 |       3550 |             zoneinfo
import time:       110 |        110 |             pydantic.annotated_handlers
import time:      1592 |       1592 |             pydantic.functional_validators
import time:       176 |        176 |               pydantic._internal._core_metadata
import time:       112 |        112 |               pydantic._internal._schema_generation_shared
import time:      1004 |       1291 |             pydantic.json_schema
import time:       162 |        162 |             pydantic._internal._discriminated_union
import time:       157 |        157 |             pydantic._internal._known_annotated_metadata
import time:       309 |        309 |             pydantic._internal._schema_gather
import time:       826 |       8807 |           pydantic._internal._generate_schema
import time:       110 |        110 |           pydantic._internal._signature
import time:       251 |       9167 |         pydantic._internal._model_construction
import time:      3539 |       3539 |         annotated_types
import time:       206 |        206 |         pydantic._internal._validators
import time:      3084 |       3084 |         pydantic.types
import time:       126 |        126 |         pydantic.plugin._loader
import time:     10829 |      44912 |       snodo.compiler.models
import time:       593 |        593 |             snodo.predicates.base
import time:        92 |         92 |             snodo.predicates.registry
import time:        99 |        783 |           snodo.predicates
import time:        98 |        881 |         snodo.predicates.scope
import time:        82 |         82 |         snodo.predicates.tests
import time:        82 |         82 |         snodo.predicates.secrets
import time:       365 |       1408 |       snodo.compiler.verifier
import time:       270 |      53748 |     snodo.protocols
import time:       158 |      53906 |   snodo.cli.commands
import time:        69 |         69 |       snodo.infrastructure
import time:       323 |        391 |     snodo.infrastructure.state
import time:       183 |        574 |   snodo.cli.commands.init_cmd
import time:        66 |         66 |       snodo.paths
import time:       649 |        715 |     snodo.config
import time:       189 |        903 |   snodo.cli.commands.config_cmd
import time:       165 |        165 |   snodo.cli.commands.serve_cmd
import time:       144 |        144 |   snodo.cli.commands.plan_cmd
import time:       237 |        237 |   snodo.cli.commands.job_cmd
import time:       112 |        112 |   snodo.cli.commands.agent_cmd
import time:        59 |         59 |     snodo.infrastructure.paths
import time:        73 |        132 |   snodo.cli.commands.dashboard_cmd
import time:        88 |         88 |   snodo.cli.commands.sandbox_cmd
import time:       839 |        839 |         _hashlib
import time:        26 |         26 |         _blake2
import time:       166 |       1029 |       hashlib
import time:        26 |         26 |         atexit
import time:       998 |       1023 |       logging
import time:       145 |        145 |         hmac
import time:       150 |        295 |       secrets
import time:       627 |       2973 |     snodo.infrastructure.session
import time:       143 |       3116 |   snodo.cli.commands.session_cmd
import time:       139 |        139 |   snodo.cli.commands.mode_cmd
import time:        79 |         79 |       snodo.core
import time:      1375 |       1453 |     snodo.core.interfaces
import time:        88 |         88 |       snodo.engine
import time:        84 |         84 |         langgraph
import time:        71 |         71 |             langgraph._internal
import time:       167 |        237 |           langgraph._internal._constants
import time:       114 |        114 |           langgraph.warnings
import time:        91 |        441 |         langgraph.constants
import time:        70 |         70 |                 langchain_core._import_utils
import time:       150 |        219 |               langchain_core._api
import time:        67 |         67 |               langchain_core._api.internal
import time:        64 |         64 |               langchain_core.version
import time:       470 |        818 |             langchain_core
import time:        87 |         87 |               langchain_core.utils
import time:       104 |        104 |                 packaging
import time:      1301 |       1405 |               packaging.version
import time:        52 |         52 |                       array
import time:       597 |        648 |                     socket
import time:       377 |        377 |                       http
import time:       451 |        451 |                         _ssl
import time:      1062 |       1513 |                       ssl
import time:       541 |       2429 |                     http.client
import time:       450 |       3526 |                   urllib3.exceptions
import time:       175 |        175 |                           urllib3.util.timeout
import time:       196 |        371 |                         urllib3.util.connection
import time:        81 |         81 |                           urllib3.util.util
import time:        60 |         60 |                           brotlicffi
