rho,K,p_v,simulated,analytical,tier,N,P_structural,P_behavioral,alpha
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.4478993120311633,0.15000000000000002
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.4549110908810463,0.17500000000000002
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.46211011700773286,0.2
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.46950053025029825,0.225
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.4770862463501939,0.25
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.48487091828231843,0.275
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.4928578965641256,0.30000000000000004
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5010501886046705,0.325
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5094504171652354,0.35000000000000003
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5180607780130936,0.375
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5268829968600413,0.4
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5359182856875679,0.42500000000000004
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5451672985709051,0.45
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5546300871247042,0.47500000000000003
,,,,,tier2_alpha_sweep,,0.07952000000000001,0.5643060557037228,0.5
